Hugo_Symbol,submitter_id,expression
ACVR2A,TCGA-3L-AA1B,0.7596
AKAP9,TCGA-3L-AA1B,1.3737
ANK1,TCGA-3L-AA1B,0.177
APC,TCGA-3L-AA1B,0.8194
ARID1A,TCGA-3L-AA1B,0.9215
ATM,TCGA-3L-AA1B,1.0039
ATRX,TCGA-3L-AA1B,0.5716
BCL9,TCGA-3L-AA1B,0.9552
BCL9L,TCGA-3L-AA1B,0.5473
BCORL1,TCGA-3L-AA1B,0.6753
BIRC6,TCGA-3L-AA1B,1.1917
BRAF,TCGA-3L-AA1B,1.0462
BRCA2,TCGA-3L-AA1B,-0.2671
CARD11,TCGA-3L-AA1B,1.3344
CDH10,TCGA-3L-AA1B,-1.5957
CDH4,TCGA-3L-AA1B,0.055
CNTNAP2,TCGA-3L-AA1B,-1.2104
CREBBP,TCGA-3L-AA1B,0.676
CSMD3,TCGA-3L-AA1B,-1.1649
CTNNA2,TCGA-3L-AA1B,2.5242
DCC,TCGA-3L-AA1B,0.9655
ERBB4,TCGA-3L-AA1B,-0.5904
FAM123B,TCGA-3L-AA1B,-4.6551
FAM47C,TCGA-3L-AA1B,-1.3237
FAT1,TCGA-3L-AA1B,0.168
FAT3,TCGA-3L-AA1B,1.2822
FAT4,TCGA-3L-AA1B,1.0906
FBXW7,TCGA-3L-AA1B,0.8239
GRIN2A,TCGA-3L-AA1B,-0.2598
KRAS,TCGA-3L-AA1B,0.2982
LRP1B,TCGA-3L-AA1B,1.4312
MLL3,TCGA-3L-AA1B,1.5431
MLL4,TCGA-3L-AA1B,1.1338
MUC16,TCGA-3L-AA1B,-0.8149
MYH11,TCGA-3L-AA1B,1.1433
NBEA,TCGA-3L-AA1B,1.2878
PIK3CA,TCGA-3L-AA1B,0.239
PREX2,TCGA-3L-AA1B,0.8664
PTPN13,TCGA-3L-AA1B,1.0037
PTPRT,TCGA-3L-AA1B,1.6139
RNF213,TCGA-3L-AA1B,0.408
RNF43,TCGA-3L-AA1B,1.3855
ROBO2,TCGA-3L-AA1B,1.8029
ROS1,TCGA-3L-AA1B,-0.9796
SMAD4,TCGA-3L-AA1B,0.3585
TCF7L2,TCGA-3L-AA1B,-2.6144
TNC,TCGA-3L-AA1B,0.2646
TP53,TCGA-3L-AA1B,0.57
TRRAP,TCGA-3L-AA1B,1.6034
ZFHX3,TCGA-3L-AA1B,0.6994
ACVR2A,TCGA-4N-A93T,0.7031
AKAP9,TCGA-4N-A93T,0.2155
ANK1,TCGA-4N-A93T,-1.5295
APC,TCGA-4N-A93T,0.5199
ARID1A,TCGA-4N-A93T,-1.3038
ATM,TCGA-4N-A93T,-0.0184
ATRX,TCGA-4N-A93T,-1.076
BCL9,TCGA-4N-A93T,0.6851
BCL9L,TCGA-4N-A93T,-0.2867
BCORL1,TCGA-4N-A93T,0.5775
BIRC6,TCGA-4N-A93T,-0.4255
BRAF,TCGA-4N-A93T,-1.9637
BRCA2,TCGA-4N-A93T,-1.2452
CARD11,TCGA-4N-A93T,-1.3106
CDH10,TCGA-4N-A93T,-1.5957
CDH4,TCGA-4N-A93T,0.3316
CNTNAP2,TCGA-4N-A93T,-1.8389
CREBBP,TCGA-4N-A93T,-0.1115
CSMD3,TCGA-4N-A93T,0.7181
CTNNA2,TCGA-4N-A93T,-1.039
DCC,TCGA-4N-A93T,-1.7203
ERBB4,TCGA-4N-A93T,-1.258
FAM123B,TCGA-4N-A93T,-0.8554
FAM47C,TCGA-4N-A93T,-0.4591
FAT1,TCGA-4N-A93T,-2.0498
FAT3,TCGA-4N-A93T,-0.8845
FAT4,TCGA-4N-A93T,-1.2175
FBXW7,TCGA-4N-A93T,-0.598
GRIN2A,TCGA-4N-A93T,-1.3662
KRAS,TCGA-4N-A93T,0.0671
