NAME,submitter_id,methilation
ANK1,TCGA-AF-2687,0.381064727
DCC,TCGA-AF-2687,0.185245289
KRAS,TCGA-AF-2687,0.053690108
CDH10,TCGA-AF-2687,0.468772658
APC,TCGA-AF-2687,0.35649191
GRIN2A,TCGA-AF-2687,0.049919182
DCC,TCGA-AF-2687,0.436926836
ATRX,TCGA-AF-2687,0.035712465
LRP1B,TCGA-AF-2687,0.52907858
KRAS,TCGA-AF-2687,0.080322507
FAT1,TCGA-AF-2687,0.039968015
BRAF,TCGA-AF-2687,0.176191564
FBXW7,TCGA-AF-2687,0.029407418
TRRAP,TCGA-AF-2687,0.096222059
MLL3,TCGA-AF-2687,0.104785118
DCC,TCGA-AF-2687,0.310951485
PTPRT,TCGA-AF-2687,0.348338112
RNF43,TCGA-AF-2687,0.03058743
FBXW7,TCGA-AF-2687,0.076239393
DCC,TCGA-AF-2687,0.29873322
ZFHX3,TCGA-AF-2687,0.087578344
CSMD3,TCGA-AF-2687,0.181206226
ERBB4,TCGA-AF-2687,0.288846045
CNTNAP2,TCGA-AF-2687,0.3798973
FAM123B,TCGA-AF-2687,0.028579263
KRAS,TCGA-AF-2687,0.009993601
TNC,TCGA-AF-2687,0.069780062
ZFHX3,TCGA-AF-2687,0.050550161
RNF213,TCGA-AF-2687,0.050174357
BRAF,TCGA-AF-2687,0.01852717
SMAD4,TCGA-AF-2687,0.040547603
KRAS,TCGA-AF-2687,0.011156372
BRAF,TCGA-AF-2687,0.039070574
BCL9L,TCGA-AF-2687,0.111843172
ARID1A,TCGA-AF-2687,0.055217144
PTPN13,TCGA-AF-2687,0.034960612
BRCA2,TCGA-AF-2687,0.85583547
PTPRT,TCGA-AF-2687,0.379206103
PREX2,TCGA-AF-2687,0.12258525
BRAF,TCGA-AF-2687,0.019224765
TCF7L2,TCGA-AF-2687,0.032512413
ACVR2A,TCGA-AF-2687,0.046916091
APC,TCGA-AF-2687,0.118581304
MYH11,TCGA-AF-2687,0.240621797
CDH4,TCGA-AF-2687,0.395579772
BIRC6,TCGA-AF-2687,0.027041538
CNTNAP2,TCGA-AF-2687,0.495579558
AKAP9,TCGA-AF-2687,0.049461839
APC,TCGA-AF-2687,0.111645938
BRAF,TCGA-AF-2687,0.026297189
KRAS,TCGA-AF-2687,0.041736598
ARID1A,TCGA-AF-2687,0.028421067
PREX2,TCGA-AF-2687,0.064251786
MYH11,TCGA-AF-2687,0.026866722
CARD11,TCGA-AF-2687,0.41235455
KRAS,TCGA-AF-2687,0.026919028
BCORL1,TCGA-AF-2687,0.033753609
DCC,TCGA-AF-2687,0.058501286
DCC,TCGA-AF-2687,0.270410668
