submitter_id,genes,values
TCGA-DC-6158,APC,1
TCGA-F4-6854,APC,0
TCGA-DC-5337,APC,1
TCGA-AA-3561,APC,0
TCGA-AA-A00O,APC,1
TCGA-DM-A28F,APC,1
TCGA-AA-3866,APC,1
TCGA-AF-3913,APC,1
TCGA-AA-3524,APC,0
TCGA-AG-3578,APC,0
TCGA-AA-3877,APC,0
TCGA-AA-3986,APC,0
TCGA-AA-3862,APC,1
TCGA-AG-3894,APC,1
TCGA-NH-A6GC,APC,1
TCGA-AA-A010,APC,1
TCGA-A6-2675,APC,1
TCGA-AA-A00D,APC,0
TCGA-AA-A00U,APC,0
TCGA-EI-6510,APC,1
TCGA-AA-3519,APC,0
TCGA-AG-A015,APC,0
TCGA-G5-6641,APC,1
TCGA-AA-3848,APC,1
TCGA-D5-6922,APC,1
TCGA-EF-5830,APC,1
TCGA-AA-3856,APC,1
TCGA-AG-A032,APC,1
TCGA-G4-6323,APC,1
TCGA-F4-6703,APC,0
TCGA-AA-A01V,APC,1
TCGA-EI-6917,APC,1
TCGA-AA-A00K,APC,0
TCGA-D5-5538,APC,1
TCGA-A6-5660,APC,1
TCGA-AA-3821,APC,0
TCGA-A6-6651,APC,0
TCGA-AG-3574,APC,0
TCGA-AD-5900,APC,1
TCGA-A6-2679,APC,1
TCGA-AA-3837,APC,1
TCGA-AG-3593,APC,0
TCGA-AA-A00A,APC,0
TCGA-AH-6549,APC,1
TCGA-AA-A02K,APC,1
TCGA-AA-3971,APC,1
TCGA-AG-A01N,APC,1
TCGA-5M-AAT4,APC,1
TCGA-AA-A00E,APC,0
TCGA-AA-3562,APC,0
TCGA-AG-3592,APC,1
TCGA-D5-6932,APC,1
TCGA-AA-A01F,APC,0
TCGA-AG-4015,APC,1
TCGA-AA-A01P,APC,0
TCGA-AD-6888,APC,1
TCGA-DM-A288,APC,1
TCGA-G4-6310,APC,1
TCGA-AY-5543,APC,1
TCGA-AA-3976,APC,1
TCGA-AG-3612,APC,0
TCGA-CI-6621,APC,1
TCGA-AG-3901,APC,1
TCGA-AA-3495,APC,1
TCGA-D5-5539,APC,1
TCGA-DC-6683,APC,1
TCGA-CA-5256,APC,1
TCGA-AG-A02G,APC,1
TCGA-AG-3600,APC,0
TCGA-AF-3911,APC,1
TCGA-AH-6897,APC,1
TCGA-G4-6627,APC,1
TCGA-AA-3819,APC,0
TCGA-A6-2686,APC,1
TCGA-AG-A020,APC,1
TCGA-AA-3833,APC,0
TCGA-AA-3530,APC,1
TCGA-AA-3851,APC,1
TCGA-DM-A1D0,APC,1
TCGA-F4-6855,APC,1
TCGA-NH-A8F8,APC,1
TCGA-AH-6903,APC,1
TCGA-AZ-4313,APC,1
TCGA-DY-A1DC,APC,1
TCGA-AA-3872,APC,1
TCGA-AA-3850,APC,1
TCGA-A6-6140,APC,0
TCGA-AG-3726,APC,1
TCGA-CM-5349,APC,1
TCGA-G4-6299,APC,0
TCGA-AA-3695,APC,1
TCGA-EI-6512,APC,1
TCGA-A6-5666,APC,1
TCGA-DC-6156,APC,0
TCGA-G4-6303,APC,1
TCGA-AA-3552,APC,0
TCGA-CA-6717,APC,1
TCGA-DC-6682,APC,1
TCGA-AA-3527,APC,0
TCGA-AM-5820,APC,0
TCGA-CA-5254,APC,0
TCGA-G4-6293,APC,1
TCGA-D5-6898,APC,1
TCGA-AA-3506,APC,1
TCGA-D5-6930,APC,0
TCGA-A6-5667,APC,1
TCGA-F4-6461,APC,1
TCGA-AG-3599,APC,0
TCGA-F4-6460,APC,1
TCGA-AA-A03F,APC,1
TCGA-EI-7002,APC,1
TCGA-AA-3712,APC,1
TCGA-DC-6160,APC,1
TCGA-G4-6628,APC,0
TCGA-AY-6196,APC,0
TCGA-AA-3688,APC,1
TCGA-G5-6572,APC,1
TCGA-AA-3560,APC,0
TCGA-CM-5341,APC,1
TCGA-CK-4951,APC,0
TCGA-AA-3548,APC,0
TCGA-AA-A01X,APC,1
TCGA-AF-2693,APC,1
TCGA-QG-A5YX,APC,0
TCGA-G4-6306,APC,1
TCGA-AG-3581,APC,0
TCGA-AY-4071,APC,1
TCGA-EI-6885,APC,1
TCGA-AA-3655,APC,1
TCGA-AG-A026,APC,1
TCGA-D5-5540,APC,1
TCGA-A6-6137,APC,1
TCGA-AU-6004,APC,0
TCGA-AZ-4614,APC,0
TCGA-AA-3693,APC,1
TCGA-AF-2689,APC,0
TCGA-DC-6154,APC,1
